title,oldprice,specialprice,regprice,rating,photo,link,pagetime,pageurl
"Donovan-Parke Pinot Noir (750 ML)","","","$15.95","78","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/8/6/86813.jpg","http://www.bevmo.com/donovan-parke-pinot-noir--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Challis Lane Cabernet Sauvignon (750 ML)","","","$9.95","77","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/8/6/86197_1.jpg","http://www.bevmo.com/challis-lane-cabernet-sauvignon--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Unruly Red Wine (750 ML)","","","$12.95","73","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/9/0/90607.jpg","http://www.bevmo.com/unruly-red-wine--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Callaway Coastal Cabernet (750 ML)","$10.99","$6.99","","88","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/a/callaway_cab_bevmo_sku_16262.png","http://www.bevmo.com/callaway-coastal-cabernet--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Callaway Coastal Selection Chardonnay (750 ML)","$10.99","$6.99","","94","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/4/14907.jpg","http://www.bevmo.com/callaway-coastal-selection-chardonnay--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Challis Lane Chardonnay (750 ML)","","","$9.95","63","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/8/6/86132_1.jpg","http://www.bevmo.com/challis-lane-chardonnay--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Coppola Chardonnay (750 ML)","","","$19.95","100","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/0/100835.jpg","http://www.bevmo.com/coppola-chardonnay--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Fog Head Sauvignon Blanc (750 ML)","","","$16.95","100","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/9/3/93712.jpg","http://www.bevmo.com/catalog/product/view/id/12989/s/fog-head-sauvignon-blanc--750-ml-/","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Challis Lane Old Vine Zinfandel (750 ML)","","","$9.95","81","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/8/9/89178_1.jpg","http://www.bevmo.com/challis-lane-old-vine-zinfandel--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Unruly Dark Red Wine (750 ML)","","","$12.95","95","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/1/1/111125.jpg","http://www.bevmo.com/catalog/product/view/id/65011/s/unruly-dark-red-wine--750-ml-/","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Dolce Vita Prosecco (750 ML)","","","$16.95","82","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/7/7/77264.jpg","http://www.bevmo.com/dolce-vita-prosecco--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
"Challis Lane Merlot (750 ML)","","","$9.95","84","http://cdnbevmo.nrostores.com/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/8/9/89176_1.jpg","http://www.bevmo.com/challis-lane-merlot--750-ml-.html","Thu Jul 06 2017 13:01:55 GMT-0700 (PDT)","http://www.bevmo.com/wine.html",
