title	price	unit	productUrl	image	pagetime	pageurl
2014 Reserve Chardonnay, Livermore Valley	$30.00	per Bottle	/product?productid=B3FDC23F-2892-49F3-AA7B-1F0B4AE5B275	//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_CHRD_NV_722.png	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2014 Reserve Grenache	$28.00	per Bottle	/product?productid=721EB09C-3146-464C-B732-18E6F32835CE	//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_GREN_NV_721.png	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2014 Reserve Petite Sirah, Captain Joe's	$38.00	per Bottle	/product?productid=D4F91752-F7E5-4323-87D8-93A789F33E37	//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_PSIR_NV_300_CJ.jpg	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2014 Reserve Stampmaker's Red	$30.00	per Bottle	/product?productid=6F1C8205-FD21-4A83-991E-6789211900C3	//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_STRD_NV_721.png	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2015 CV Chardonnay	$20.00	per Bottle	/product?productid=BA1B922A-5121-4C56-9238-B8097FB1CE1B	//shop.concannonvineyard.com/assets/images/wines/originals/CON_BS_CHRD.PNG	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2015 Reserve Assemblage Blanc	$26.00	per Bottle	/product?productid=1B7AAB6E-4A36-4CCB-9C84-864BA121576A	//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_ASSB_NV_300.png	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2015 Reserve Crimson & Clover	$26.00	per Bottle	/product?productid=48388712-3BF2-4B5D-B241-5CD4CDDA6CEA	//shop.concannonvineyard.com/assets/images/wines/originals/CON_BS_750_CRCL_2015_721.png	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2015 Reserve Sauvignon Blanc	$27.00	per Bottle	/product?productid=759DB2EC-0CA4-4015-8367-03BFB355EA3F	//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_SABL_15_300_Sonoma.png	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2015 Reserve Viognier	$27.00	per Bottle	/product?productid=2C258301-EE48-4AB8-8010-310CF8BEE1ED	//shop.concannonvineyard.com/assets/images/wines/originals/CON-RE_BS_750_VIOG_NV_721.png	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
2016 Reserve Rosé of Petite Sirah	$24.00	per Bottle	/product?productid=6B770197-4CA3-4B74-9911-061C24A5C0FD	//shop.concannonvineyard.com/assets/images/wines/originals/CON_BS_750_ROSE_NV.png	Mon Jul 03 2017 20:04:15 GMT-0700 (PDT)	http://shop.concannonvineyard.com/index.cfm?method=storeproducts.showlist&productcategoryid=20527859-F2FC-71D7-3FD7-C9E9E5A7AEE3&page=2
